miRNAs,Gene
hsa-let-7a,KITLG
hsa-let-7a,SKP1
hsa-let-7a,WEE1
hsa-let-7a,CDC34
hsa-let-7a,PEBP1
hsa-let-7a,HMGA1
hsa-let-7a,HRSP12
hsa-let-7a,TRIM32
hsa-let-7a,RDX
hsa-let-7a,COL1A1
hsa-let-7a,COL4A2
hsa-let-7a,DUSP2
hsa-let-7a,COL5A3
hsa-let-7a,CTNNBIP1
hsa-let-7a,TGFB3
hsa-let-7a,ACVR2A
hsa-let-7a,HDAC4
hsa-let-7a,BASP1
hsa-let-7a,PDHA2
hsa-let-7a,TM9SF3
hsa-let-7a,RTN4
hsa-let-7a,NCAPG
hsa-let-7a,WFS1
hsa-let-7a,DERL1
hsa-let-7a,WIBG
hsa-let-7a,PLOD3
hsa-let-7a,ASAHL
hsa-let-7a,ILF2
hsa-let-7a,ILF3
hsa-let-7a,LAMP3
hsa-let-7a,HAND2
hsa-let-7a,DCN
hsa-let-7a,AMACR
hsa-let-7a,DYRK2
hsa-let-7a,CBS
hsa-let-7a,APC
hsa-let-7a,SLC27A4
hsa-let-7a,IGF1
hsa-let-7a,SOX2
hsa-let-7a,E2F2
hsa-let-7a,ESR1
hsa-let-7a,ESR2
hsa-let-7a,NCOA3
hsa-let-7a,SF4
hsa-let-7a,PGC
hsa-let-7a,CISH
hsa-let-7a,NFKBIA
hsa-let-7a,SRC
hsa-let-7a,RAB27A
hsa-let-7a,NCBP1
hsa-let-7a,ARS2
hsa-let-7a,ZEB1
hsa-let-7a,ZCCHC11
hsa-let-7a,CHAF1A
hsa-let-7a,CCR4
hsa-let-7a,TMEM132D
hsa-let-7a,EPHB2
hsa-let-7a,TARBP2
hsa-let-7a,UHRF2
hsa-let-7a,TNRC6C
hsa-let-7a,TGFBR1
hsa-let-7a,PRTN3
hsa-let-7a,NRIP1
hsa-let-7a,EIF2C4
hsa-let-7a,RET
hsa-let-7a,NKX2-1
hsa-let-7a,NCOA4
hsa-let-7a,MYCN
hsa-let-7a,CLEC5A
hsa-let-7a,SLC7A1
hsa-let-7a,PAH
hsa-let-7a,RBPJL
hsa-let-7a,CD46
hsa-let-7a,LARP4
hsa-let-7a,CNN3
hsa-let-7a,ELK3
hsa-let-7a,ATP6V1B2
hsa-let-7a,HNF4A
hsa-let-7a,BRCA1
hsa-let-7a,BRAF
hsa-let-7a,MBL2
hsa-let-7a,GLI1
hsa-let-7a,SMOX
hsa-let-7a,SMO
hsa-let-7a,TP63
hsa-let-7a,MCL1
hsa-let-7a,BCL2L1
hsa-let-7a,NKIRAS2
hsa-let-7a,BACE1
hsa-let-7a,CCND2
hsa-let-7a,CEBPZ
hsa-let-7a,XPO1
hsa-let-7a,HK1
hsa-let-7a,NPC1
hsa-let-7a,IL8RA
hsa-let-7a,CKAP4
hsa-let-7a,RBBP6
hsa-let-7a,TP73
hsa-let-7a,SOCS4
hsa-let-7a,UBE2I
hsa-let-7a,SPRY2
hsa-let-7a,MEST
hsa-let-7a,IL13
hsa-let-7a,ZNF167
hsa-let-7a,ZNF512B
hsa-let-7a,TGFB1
hsa-let-7a,HNRNPA1
hsa-let-7a,KHSRP
hsa-let-7a,BRCA2
hsa-let-7a,OPRM1
hsa-let-7a,LRRK2
hsa-let-7a,CYLD
hsa-let-7a,CEBPB
hsa-let-7a,DDIT3
hsa-let-7a,HMOX1
hsa-let-7a,ROS1
hsa-let-7a,RPE
hsa-let-7a,SRM
hsa-let-7a,IL17A
hsa-let-7a,PAX7
hsa-let-7a,BCL6
hsa-let-7a,CDKN1B
hsa-let-7a,CDKN1C
hsa-let-7a,CXCL12
hsa-let-7a,ALDH1A1
hsa-let-7a,ERBB3
hsa-let-7a,C17orf91
hsa-let-7a,RUNX1
hsa-let-7a,CDC25C
hsa-let-7a,MMP14
hsa-let-7a,MAPK3
hsa-let-7a,CYP7A1
hsa-let-7a,IFNG
hsa-let-7a,NOS2A
hsa-let-7a,POLR2A
hsa-let-7a,PGRMC1
hsa-let-7a,IL2RA
hsa-let-7a,FOXP3
hsa-let-7a,SELL
hsa-let-7a,CD4
hsa-let-7a,CD69
hsa-let-7a,FASN
hsa-let-7a,PPP2R1B
hsa-let-7a,CYFIP2
hsa-let-7a,SNAI2
hsa-let-7a,ZEB2
hsa-let-7a,PSD4
hsa-let-7a,MMP8
hsa-let-7a,RBL2
hsa-let-7a,RAD51L3
hsa-let-7a,RAB40C
hsa-let-7a,RASSF1
hsa-let-7a,GPI
hsa-let-7a,TIMP3
hsa-let-7a,SOCS1
hsa-let-7a,RORA
hsa-let-7a,EIF4G1
hsa-let-7a,CNTN3
hsa-let-7a,CYB5R3
hsa-let-7a,XRN1
hsa-let-7a,BBS9
hsa-let-7a,NES
hsa-let-7a,PDXP
hsa-let-7a,SLC25A10
hsa-let-7a,COPS8
hsa-let-7a,CSN1S1
hsa-let-7a,IFNA1
hsa-let-7a,IFNA2
hsa-let-7a,STAT1
hsa-let-7a,EGR1
hsa-let-7a,IFI44
hsa-let-7a,FN1
hsa-let-7a,GRB2
hsa-let-7a,GAB2
hsa-let-7a,EPHA2
hsa-let-7a,JARID1B
hsa-let-7a,UHRF1BP1
hsa-let-7a,SLC7A5
hsa-let-7a,LIF
hsa-let-7a,CHEK1
hsa-let-7a,SYCP3
hsa-let-7a,DDX4
hsa-let-7a,AIRE
hsa-let-7a,IL10
hsa-let-7a,ARC
hsa-let-7a,CLU
hsa-let-7a,ELF4
hsa-let-7a,CCL7
hsa-let-7a,SOCS3
hsa-let-7a,PPARGC1A
hsa-let-7a,AKT2
hsa-let-7a,FOXP1
hsa-let-7a,ELSPBP1
hsa-let-7a,TBX5
hsa-let-7a,HAND1
hsa-let-7a,ZCCHC6
hsa-let-7a,LYPLA3
hsa-let-7a,MET
hsa-let-7a,KLF4
hsa-let-7a,IGF1R
hsa-let-7a,MSTN
hsa-let-7a,GHR
hsa-let-7a,RAB40B
hsa-let-7a,CGA
hsa-let-7a,KISS1R
hsa-let-7a,CXCR4
hsa-let-7a,PROM1
hsa-let-7a,NFYC
hsa-let-7b,DICER1
hsa-let-7b,ATP8A2
hsa-let-7b,CSAD
hsa-let-7b,LIN28
hsa-let-7b,ECD
hsa-let-7b,TREH
hsa-let-7b,DDX20
hsa-let-7b,EIF2C2
hsa-let-7b,GEMIN4
hsa-let-7b,PDCD6
hsa-let-7b,MAPK14
hsa-let-7b,RPIA
hsa-let-7b,FBXW11
hsa-let-7b,TMEM184B
hsa-let-7b,GPD1
hsa-let-7b,TMOD3
hsa-let-7b,LAMC2
hsa-let-7b,TPPP3
hsa-let-7b,STK3
hsa-let-7b,KLF5
hsa-let-7b,ACTG1
hsa-let-7b,VEGFA
hsa-let-7b,PARP8
hsa-let-7b,C6orf134
hsa-let-7b,SMC1A
hsa-let-7b,STK24
hsa-let-7b,CCNT2
hsa-let-7b,KIAA0152
hsa-let-7b,DMTF1
hsa-let-7b,COX8A
hsa-let-7b,TAF1C
hsa-let-7b,RNASEN
hsa-let-7b,DGCR8
hsa-let-7b,KRAS
hsa-let-7b,NRAS
hsa-let-7b,MTPN
hsa-let-7b,JAK2
hsa-let-7b,C1QBP
hsa-let-7b,USP1
hsa-let-7b,ADIPOR2
hsa-let-7b,FBXW7
hsa-let-7b,SHH
hsa-let-7b,PI3
hsa-let-7b,PIK3CA
hsa-let-7b,DDX6
hsa-let-7b,EIF2C1
hsa-let-7b,LSM1
hsa-let-7b,SCPEP1
hsa-let-7b,BCL2
hsa-let-7b,TNRC6A
hsa-let-7b,LIN28B
hsa-let-7b,TNRC6B
hsa-let-7b,FMR1
hsa-let-7b,MOV10
hsa-let-7b,ZNF362
hsa-let-7b,HMGA2
hsa-let-7b,NFKB1
hsa-let-7b,DNMT1
hsa-let-7b,DNMT3B
hsa-let-7b,EIF4E
hsa-let-7b,FAS
hsa-let-7b,TCF19
hsa-let-7b,TWIST1
hsa-let-7b,CCND1
hsa-let-7b,CCNG1
hsa-let-7b,CDK6
hsa-let-7b,CDC25A
hsa-let-7b,POLD3
hsa-let-7b,EGFR
hsa-let-7b,MYC
hsa-let-7b,CYP27B1
hsa-let-7b,FOXA1
hsa-let-7b,VDR
hsa-let-7b,NR1I2
hsa-let-7b,E2F1
hsa-let-7b,E2F3
hsa-let-7b,NOL3
hsa-let-7b,BCL7A
hsa-let-7b,TNF
hsa-let-7b,FXR1
hsa-let-7b,KIT
hsa-let-7b,TRAT1
hsa-let-7b,TRIM17
hsa-let-7b,ATN1
hsa-let-7b,AKT1
hsa-let-7b,BIRC3
hsa-let-7b,PTEN
hsa-let-7b,SYNE1
hsa-let-7b,FLT3
hsa-let-7b,HOXA10
hsa-let-7b,MEIS1
hsa-let-7b,NPM1
hsa-let-7b,CEBPA
hsa-let-7b,CCNA2
hsa-let-7b,IGF2BP1
hsa-let-7b,NPAT
hsa-let-7b,TUT1
hsa-let-7b,CHAF1A
hsa-let-7b,ABCF2
hsa-let-7b,PPIF
hsa-let-7b,SLC25A13
hsa-let-7b,RCAN2
hsa-let-7b,WDR68
hsa-let-7b,CALCOCO2
hsa-let-7b,AKAP8
hsa-let-7b,OPRS1
hsa-let-7b,BET1
hsa-let-7b,CDIPT
hsa-let-7b,C1D
hsa-let-7b,SEC23A
hsa-let-7b,VTI1B
hsa-let-7b,CEBPB
hsa-let-7b,ANP32B
hsa-let-7b,HBXIP
hsa-let-7b,RPP38
hsa-let-7b,SPTLC1
hsa-let-7b,PDLIM5
hsa-let-7b,GNA13
hsa-let-7b,CTSC
hsa-let-7b,MTHFD2
hsa-let-7b,SEC24A
hsa-let-7b,PGRMC1
hsa-let-7b,EHMT2
hsa-let-7b,PRSS21
hsa-let-7b,TOMM34
hsa-let-7b,TMED2
hsa-let-7b,MLLT11
hsa-let-7b,TMED10
hsa-let-7b,FERMT2
hsa-let-7b,CHD1
hsa-let-7b,DNAJB4
hsa-let-7b,PWP1
hsa-let-7b,SEC23IP
hsa-let-7b,KLK8
hsa-let-7b,PRAF2
hsa-let-7b,DUSP12
hsa-let-7b,LYPLA2
hsa-let-7b,FMNL2
hsa-let-7b,PTPMT1
hsa-let-7b,THEM4
hsa-let-7b,GALNTL2
hsa-let-7b,CLN5
hsa-let-7b,MSI2
hsa-let-7b,IQGAP3
hsa-let-7b,DNAJC19
hsa-let-7b,GRPEL2
hsa-let-7b,CPOX
hsa-let-7b,PTRH1
hsa-let-7b,KDELC2
hsa-let-7b,CPNE8
hsa-let-7b,CSNK1D
hsa-let-7b,CSRP1
hsa-let-7b,CTNNB1
hsa-let-7b,RDH10
hsa-let-7b,MOSPD2
hsa-let-7b,ADSS
hsa-let-7b,CYP51A1
hsa-let-7b,AP2A1
hsa-let-7b,ZNF384
hsa-let-7b,DSG2
hsa-let-7b,DSP
hsa-let-7b,DSPP
hsa-let-7b,PHC2
hsa-let-7b,ARID2
hsa-let-7b,PTPLB
hsa-let-7b,F2
hsa-let-7b,ARL5B
hsa-let-7b,FGF2
hsa-let-7b,FGF13
hsa-let-7b,FNDC3A
hsa-let-7b,TRIM32
hsa-let-7b,PLXND1
hsa-let-7b,RCOR1
hsa-let-7b,SYNE2
hsa-let-7b,VPS39
hsa-let-7b,KIAA0776
hsa-let-7b,KIAA0409
hsa-let-7b,TMED3
hsa-let-7b,HARS2
hsa-let-7b,TRAM1
hsa-let-7b,CARHSP1
hsa-let-7b,CORO1C
hsa-let-7b,ARFIP2
hsa-let-7b,POLA2
hsa-let-7b,SLC7A11
hsa-let-7b,TMEM2
hsa-let-7b,SH3BP4
hsa-let-7b,PISD
hsa-let-7b,IFIT5
hsa-let-7b,NAT6
hsa-let-7b,FRG1
hsa-let-7b,LYCAT
hsa-let-7b,ELMOD2
hsa-let-7b,GAK
hsa-let-7b,TXN2
hsa-let-7b,METTL7A
hsa-let-7b,GALNT1
hsa-let-7b,TMEM87A
hsa-let-7b,ZNF294
hsa-let-7b,RAI14
hsa-let-7b,GARS
hsa-let-7b,GFPT1
hsa-let-7b,CHORDC1
hsa-let-7b,BRPF3
hsa-let-7b,ARFIP1
hsa-let-7b,CHMP2A
hsa-let-7b,RAB30
hsa-let-7b,GNAI2
hsa-let-7b,GPD2
hsa-let-7b,TTC9C
hsa-let-7b,SPRYD4
hsa-let-7b,ARL10
hsa-let-7b,ANPEP
hsa-let-7b,COMMD9
hsa-let-7b,GSTM4
hsa-let-7b,SAC3D1
hsa-let-7b,SNX15
hsa-let-7b,DPP7
hsa-let-7b,SLC25A24
hsa-let-7b,PSAT1
hsa-let-7b,GYS1
hsa-let-7b,ANXA2
hsa-let-7b,HARS
hsa-let-7b,HMGA1
hsa-let-7b,HMOX1
hsa-let-7b,HSPA1A
hsa-let-7b,HSPA1B
hsa-let-7b,DNAJB1
hsa-let-7b,HYAL1
hsa-let-7b,IDH1
hsa-let-7b,IFRD1
hsa-let-7b,AMIGO2
hsa-let-7b,IGF2R
hsa-let-7b,TICAM2
hsa-let-7b,ITGA2
hsa-let-7b,ITGB4
hsa-let-7b,JUN
hsa-let-7b,AGRN
hsa-let-7b,KCNN4
hsa-let-7b,KPNA3
hsa-let-7b,TMEM189
hsa-let-7b,RHOB
hsa-let-7b,KRT85
hsa-let-7b,RHOG
hsa-let-7b,LAMC1
hsa-let-7b,LCP1
hsa-let-7b,ARHGDIA
hsa-let-7b,FADS1
hsa-let-7b,FADS3
hsa-let-7b,ARL2
hsa-let-7b,LPL
hsa-let-7b,LRP1
hsa-let-7b,TACSTD2
hsa-let-7b,SMAD1
hsa-let-7b,MAT2A
hsa-let-7b,MBNL1
hsa-let-7b,MET
hsa-let-7b,MLLT1
hsa-let-7b,TMEM41B
hsa-let-7b,MTRR
hsa-let-7b,MYO1E
hsa-let-7b,MYO10
hsa-let-7b,HNRPM
hsa-let-7b,NARS
hsa-let-7b,NCL
hsa-let-7b,NEDD4
hsa-let-7b,NELL1
hsa-let-7b,NOTCH2
hsa-let-7b,NP
hsa-let-7b,ATP2A2
hsa-let-7b,NPR3
hsa-let-7b,NT5E
hsa-let-7b,NUCB1
hsa-let-7b,PAFAH1B2
hsa-let-7b,TMED7
hsa-let-7b,TXNDC12
hsa-let-7b,GOLGA7
hsa-let-7b,HSD17B12
hsa-let-7b,NT5C3
hsa-let-7b,PDE3A
hsa-let-7b,UBE2J1
hsa-let-7b,ANKFY1
hsa-let-7b,PTPLAD1
hsa-let-7b,TAF9B
hsa-let-7b,MRPS33
hsa-let-7b,CDK5RAP1
hsa-let-7b,RAB23
hsa-let-7b,GALNT7
hsa-let-7b,PGM1
hsa-let-7b,SERPINE2
hsa-let-7b,ATP6V1C1
hsa-let-7b,ACP2
hsa-let-7b,PLK1
hsa-let-7b,ATP6V0A1
hsa-let-7b,POLE3
hsa-let-7b,PODXL
hsa-let-7b,POLD2
hsa-let-7b,POLR2C
hsa-let-7b,SLC38A2
hsa-let-7b,FAM105A
hsa-let-7b,TMCO1
hsa-let-7b,GNL3L
hsa-let-7b,ATRX
hsa-let-7b,LY6K
hsa-let-7b,PPIB
hsa-let-7b,CDKAL1
hsa-let-7b,PPL
hsa-let-7b,DUSP23
hsa-let-7b,MRPL20
hsa-let-7b,GPR172B
hsa-let-7b,PPP1R7
hsa-let-7b,PPP2R4
hsa-let-7b,PPP2R5C
hsa-let-7b,PPP3CA
hsa-let-7b,PPP3R1
hsa-let-7b,ABHD10
hsa-let-7b,PPP5C
hsa-let-7b,PRIM1
hsa-let-7b,TRMT1
hsa-let-7b,PRPF40A
hsa-let-7b,TRMU
hsa-let-7b,BRWD2
hsa-let-7b,CEP72
hsa-let-7b,CAND1
hsa-let-7b,PRKCI
hsa-let-7b,PKN2
hsa-let-7b,LRRC8A
hsa-let-7b,POLE4
hsa-let-7b,RTN4
hsa-let-7b,PTBP1
hsa-let-7b,PTGFRN
hsa-let-7b,SCYL1
hsa-let-7b,PTGS2
hsa-let-7b,NUFIP2
hsa-let-7b,AADACL1
hsa-let-7b,WDFY1
hsa-let-7b,RNF213
hsa-let-7b,GPAM
hsa-let-7b,KIAA1618
hsa-let-7b,PTPRF
hsa-let-7b,PTPRJ
hsa-let-7b,PTPRK
hsa-let-7b,PURA
hsa-let-7b,PTBP2
hsa-let-7b,SRPRB
hsa-let-7b,SNX6
hsa-let-7b,RAB6A
hsa-let-7b,RAB27B
hsa-let-7b,RAB5C
hsa-let-7b,RAD23B
hsa-let-7b,RARS
hsa-let-7b,RBMS1
hsa-let-7b,BCKDHB
hsa-let-7b,RCN2
hsa-let-7b,RHEB
hsa-let-7b,SPCS3
hsa-let-7b,CCL13
hsa-let-7b,SDCBP
hsa-let-7b,NCAPG
hsa-let-7b,NXN
hsa-let-7b,ATG3
hsa-let-7b,MOSC1
hsa-let-7b,FNDC3B
hsa-let-7b,GNPNAT1
hsa-let-7b,CDCP1
hsa-let-7b,MRPS24
hsa-let-7b,SLC1A4
hsa-let-7b,SLC7A1
hsa-let-7b,SLC12A2
hsa-let-7b,SLC12A4
hsa-let-7b,SLC25A1
hsa-let-7b,UAP1
hsa-let-7b,SRPR
hsa-let-7b,STRN
hsa-let-7b,SYPL1
hsa-let-7b,THBS1
hsa-let-7b,TLOC1
hsa-let-7b,TNFAIP2
hsa-let-7b,TPM1
hsa-let-7b,TPM2
hsa-let-7b,TPM3
hsa-let-7b,TXNRD1
hsa-let-7b,TYMS
hsa-let-7b,UGT8
hsa-let-7b,WNT5A
hsa-let-7b,CA12
hsa-let-7b,SLC30A1
hsa-let-7b,LUZP1
hsa-let-7b,CACNA2D1
hsa-let-7b,PXDN
hsa-let-7b,IFRD2
hsa-let-7b,ATG9A
hsa-let-7b,TMEM109
hsa-let-7b,BAT2
hsa-let-7b,TMEM43
hsa-let-7b,DHX40
hsa-let-7b,IPO4
hsa-let-7b,SLC25A22
hsa-let-7b,GEMIN7
hsa-let-7b,EHMT1
hsa-let-7b,AGMAT
hsa-let-7b,MRM1
hsa-let-7b,DOCK5
hsa-let-7b,NARG1
hsa-let-7b,CDK5RAP3
hsa-let-7b,SHOC2
hsa-let-7b,AARSD1
hsa-let-7b,SLC25A32
hsa-let-7b,SLC38A1
hsa-let-7b,COIL
hsa-let-7b,UNC93B1
hsa-let-7b,CAPG
hsa-let-7b,ARID1A
hsa-let-7b,PICALM
hsa-let-7b,ADPGK
hsa-let-7b,SH3BGRL3
hsa-let-7b,ABHD11
hsa-let-7b,HSDL1
hsa-let-7b,ATAD3B
hsa-let-7b,RAB34
hsa-let-7b,UTP15
hsa-let-7b,STX7
hsa-let-7b,MLSTD2
hsa-let-7b,FAM96A
hsa-let-7b,LRRC8C
hsa-let-7b,CUL4B
hsa-let-7b,GTPBP3
hsa-let-7b,LMNB2
hsa-let-7b,DOCK7
hsa-let-7b,AP3B1
hsa-let-7b,GFM1
hsa-let-7b,SSNA1
hsa-let-7b,MAP2K1IP1
hsa-let-7b,CBFB
hsa-let-7b,RNMT
hsa-let-7b,TNFSF9
hsa-let-7b,SNAP23
hsa-let-7b,NAPG
hsa-let-7b,TNFRSF10B
hsa-let-7b,TNFRSF10A
hsa-let-7b,PEX11B
hsa-let-7b,NRP1
hsa-let-7b,SQSTM1
hsa-let-7b,AP3D1
hsa-let-7b,P4HA2
hsa-let-7b,PHLDB2
hsa-let-7b,MPZL1
hsa-let-7b,ZNF622
hsa-let-7b,YIF1B
hsa-let-7b,ASH2L
hsa-let-7b,CLDN1
hsa-let-7b,DHX57
hsa-let-7b,SLC16A3
hsa-let-7b,RQCD1
hsa-let-7b,RFT1
hsa-let-7b,AURKB
hsa-let-7b,PDLIM7
hsa-let-7b,DTD1
hsa-let-7b,SLC38A5
hsa-let-7b,GPR56
hsa-let-7b,MARS2
hsa-let-7b,ATP6V1F
hsa-let-7b,TRIP13
hsa-let-7b,VAMP3
hsa-let-7b,SNAP29
hsa-let-7b,SLC9A3R2
hsa-let-7b,UBE4A
hsa-let-7b,SFXN1
hsa-let-7b,FADS2
hsa-let-7b,FHL5
hsa-let-7b,SLC4A7
hsa-let-7b,FXR2
hsa-let-7b,SCAMP1
hsa-let-7b,MPDU1
hsa-let-7b,TMEM59
hsa-let-7b,SFI1
hsa-let-7b,MRC2
hsa-let-7b,RBM19
hsa-let-7b,EPHB2
hsa-let-7b,GRM7
hsa-let-7b,RABEPK
hsa-let-7b,EXOSC1
hsa-let-7b,CDKN1A
hsa-let-7b,PAK3
hsa-let-7b,CYCS
hsa-let-7b,EIF3A
hsa-let-7b,CDKN2A
hsa-let-7b,CDKN2D
hsa-let-7b,KITLG
hsa-let-7b,SKP1
hsa-let-7b,WEE1
hsa-let-7b,CDC34
hsa-let-7b,RDX
hsa-let-7b,COL1A1
hsa-let-7b,COL4A2
hsa-let-7b,DUSP2
hsa-let-7b,COL5A3
hsa-let-7b,CTNNBIP1
hsa-let-7b,TGFB3
hsa-let-7b,ACVR2A
hsa-let-7b,HDAC4
hsa-let-7b,BASP1
hsa-let-7b,PDHA2
hsa-let-7b,TM9SF3
hsa-let-7b,WFS1
hsa-let-7b,DERL1
hsa-let-7b,WIBG
hsa-let-7b,PLOD3
hsa-let-7b,PRKAR1A
hsa-let-7b,WNT1
hsa-let-7b,WISP2
hsa-let-7b,ASAHL
hsa-let-7b,LAMP3
hsa-let-7b,HAND2
hsa-let-7b,DCN
hsa-let-7b,AMACR
hsa-let-7b,DYRK2
hsa-let-7b,CBS
hsa-let-7b,SLC27A4
hsa-let-7b,IGF1
hsa-let-7b,SOX2
hsa-let-7b,E2F2
hsa-let-7b,ESR1
hsa-let-7b,ESR2
hsa-let-7b,NCOA3
hsa-let-7b,SF4
hsa-let-7b,PGC
hsa-let-7b,PRDM1
hsa-let-7b,IL6
hsa-let-7b,CISH
hsa-let-7b,NFKBIA
hsa-let-7b,SRC
hsa-let-7b,NCBP1
hsa-let-7b,ARS2
hsa-let-7b,ZEB1
hsa-let-7b,ZCCHC11
hsa-let-7b,CCR4
hsa-let-7b,TMEM132D
hsa-let-7b,TARBP2
hsa-let-7b,UHRF2
hsa-let-7b,TNRC6C
hsa-let-7b,TGFBR1
hsa-let-7b,PRTN3
hsa-let-7b,STAT3
hsa-let-7b,NRIP1
hsa-let-7b,EIF2C4
hsa-let-7b,TP53
hsa-let-7b,RET
hsa-let-7b,NKX2-1
hsa-let-7b,NCOA4
hsa-let-7b,MYCN
hsa-let-7b,CLEC5A
hsa-let-7b,RBPJL
hsa-let-7b,IFNG
hsa-let-7b,CD46
hsa-let-7b,LARP4
hsa-let-7b,CNN3
hsa-let-7b,ELK3
hsa-let-7b,ATP6V1B2
hsa-let-7b,HNF4A
hsa-let-7b,BRAF
hsa-let-7b,MBL2
hsa-let-7b,GLI1
hsa-let-7b,SMOX
hsa-let-7b,SMO
hsa-let-7b,TP63
hsa-let-7b,RAB22A
hsa-let-7b,MCL1
hsa-let-7b,BCL2L1
hsa-let-7b,CCND2
hsa-let-7b,CEBPZ
hsa-let-7b,XPO1
hsa-let-7b,HK1
hsa-let-7b,NPC1
hsa-let-7b,IL8RA
hsa-let-7b,CKAP4
hsa-let-7b,RBBP6
hsa-let-7b,TP73
hsa-let-7b,SOCS4
hsa-let-7b,ITGB3
hsa-let-7b,UBE2I
hsa-let-7b,SPRY2
hsa-let-7b,MEST
hsa-let-7b,IL13
hsa-let-7b,ZNF167
hsa-let-7b,ZNF512B
hsa-let-7b,TGFB1
hsa-let-7b,HNRNPA1
hsa-let-7b,KHSRP
hsa-let-7b,BRCA1
hsa-let-7b,BRCA2
hsa-let-7b,OPRM1
hsa-let-7b,LRRK2
hsa-let-7b,CYLD
hsa-let-7b,DDIT3
hsa-let-7b,ROS1
hsa-let-7b,RPE
hsa-let-7b,SRM
hsa-let-7b,PAX7
hsa-let-7b,BCL6
hsa-let-7b,ALDH1A1
hsa-let-7b,ERBB3
hsa-let-7b,C17orf91
hsa-let-7b,RUNX1
hsa-let-7b,CDC25C
hsa-let-7b,MMP14
hsa-let-7b,MAPK3
hsa-let-7b,POLR2A
hsa-let-7b,FASN
hsa-let-7b,CYFIP2
hsa-let-7b,PSD4
hsa-let-7b,MMP8
hsa-let-7b,RASSF1
hsa-let-7b,GPI
hsa-let-7b,TIMP3
hsa-let-7b,SOCS1
hsa-let-7b,RORA
hsa-let-7b,EIF4G1
hsa-let-7b,CNTN3
hsa-let-7b,XRN1
hsa-let-7b,BBS9
hsa-let-7b,NES
hsa-let-7b,SLC25A10
hsa-let-7b,COPS8
hsa-let-7b,CSN1S1
hsa-let-7b,IFNA1
hsa-let-7b,IFNA2
hsa-let-7b,STAT1
hsa-let-7b,EGR1
hsa-let-7b,IFI44
hsa-let-7b,FN1
hsa-let-7b,GRB2
hsa-let-7b,GAB2
hsa-let-7b,EPHA2
hsa-let-7b,JARID1B
hsa-let-7b,ERBB2
hsa-let-7b,LIF
hsa-let-7b,CHEK1
hsa-let-7b,KRT5
hsa-let-7b,AIRE
hsa-let-7b,IL10
