mir,gene
hsa-miR-16-1,MYC
hsa-miR-34a-5p,MYC
hsa-miR-23a-3p,MYC
hsa-miR-23b-3p,MYC
hsa-miR-106a-5p,MYCN
hsa-miR-17-5p,MYCN
hsa-miR-18a-5p,MYCN
hsa-miR-19a-3p,MYCN
hsa-miR-19b-3p,MYCN
hsa-miR-20a-5p,MYCN
hsa-miR-221-3p,MYCN
hsa-miR-92a-3p,MYCN
hsa-miR-133a-3p,MYF5
hsa-miR-1,MyoD
hsa-miR-133a-3p,MyoD
hsa-miR-206,MyoD
hsa-miR-1,Myogenin
hsa-miR-133a-3p,Myogenin
hsa-miR-206,Myogenin
hsa-miR-21-5p,NFIB
hsa-miR-125b-5p,NFKB1
hsa-miR-155-5p,NFKB1
hsa-miR-29a-3p,NFKB1
hsa-miR-29b-3p,NFKB1
hsa-miR-29c-3p,NFKB1
hsa-miR-146a-5p,NFKB1
hsa-miR-9-5p,NFKB1
hsa-miR-17-5p,NKX2-5
hsa-miR-18a-5p,NKX2-5
hsa-miR-19a-3p,NKX2-5
hsa-miR-19b-3p,NKX2-5
hsa-miR-20a-5p,NKX2-5
hsa-miR-92a-3p,NKX2-5
hsa-miR-127,NR3B3
hsa-miR-433-3p,NR3B3
hsa-miR-221-3p,PDGF
hsa-miR-146a-5p,PLZF
hsa-miR-302a-3p,POU5F1
hsa-miR-302b-3p,POU5F1
hsa-miR-302c-3p,POU5F1
hsa-miR-302d-3p,POU5F1
hsa-miR-367-3p,POU5F1
hsa-miR-302a-3p,POU5F1
hsa-miR-302b-3p,POU5F1
hsa-miR-302c-3p,POU5F1
hsa-miR-302d-3p,POU5F1
hsa-miR-367-3p,POU5F1
hsa-miR-15a-5p,PRKCA
hsa-miR-19a-3p,PTEN
hsa-miR-21-5p,PTEN
hsa-miR-21-5p,REST
hsa-miR-302a-3p,Rex1
hsa-miR-302b-3p,Rex1
hsa-miR-302c-3p,Rex1
hsa-miR-302d-3p,Rex1
hsa-miR-367-3p,Rex1
hsa-miR-27a-3p,RUNX1
hsa-miR-127,SHP
hsa-miR-433-3p,SHP
hsa-miR-141-3p,SIP1
hsa-miR-200a-3p,SIP1
hsa-miR-200b-3p,SIP1
hsa-miR-200c-3p,SIP1
hsa-miR-429,SIP1
hsa-miR-155-5p,SMAD4
hsa-miR-302a-3p,SOX2
hsa-miR-302b-3p,SOX2
hsa-miR-302c-3p,SOX2
hsa-miR-302d-3p,SOX2
hsa-miR-367-3p,SOX2
hsa-miR-106a-5p,SP1
hsa-miR-24-3p,TGFB1
hsa-miR-23a-3p,TGFB1
hsa-miR-24-3p,TGFB1
hsa-miR-27a-3p,TGFB1
hsa-miR-141-3p,TGFB1
hsa-miR-200a-3p,TGFB1
hsa-miR-200b-3p,TGFB1
hsa-miR-200c-3p,TGFB1
hsa-miR-205-5p,TGFB1
hsa-miR-429,TGFB1
hsa-miR-155-5p,TGFB1
hsa-miR-222-3p,Thrombin
hsa-miR-9-5p,TLR2
hsa-miR-9-5p,TLR4
hsa-miR-9-5p,TLR7
hsa-miR-9-5p,TLR8
hsa-miR-9-5p,TLX
hsa-miR-17-5p,TLX1
hsa-miR-18a-5p,TLX1
hsa-miR-19a-3p,TLX1
hsa-miR-19b-3p,TLX1
hsa-miR-20a-5p,TLX1
hsa-miR-92a-3p,TLX1
hsa-miR-17-5p,TLX3
hsa-miR-18a-5p,TLX3
hsa-miR-19a-3p,TLX3
hsa-miR-19b-3p,TLX3
hsa-miR-20a-5p,TLX3
hsa-miR-92a-3p,TLX3
hsa-miR-9-5p,TNF
hsa-miR-34b-3p,TP53
hsa-miR-34c,TP53
hsa-miR-34a-5p,TP53
hsa-miR-192-5p,TP53
hsa-miR-215-5p,TP53
hsa-miR-145-5p,TP53
hsa-let-7a-5p,TRIM32
hsa-let-7b-5p,TRIM32
hsa-let-7c-5p,TRIM32
hsa-let-7d-5p,TRIM32
hsa-let-7e-5p,TRIM32
hsa-let-7f-5p,TRIM32
hsa-let-7g-5p,TRIM32
hsa-let-7i-5p,TRIM32
hsa-miR-199a-2,TWIST1
hsa-miR-214-3p,TWIST1
hsa-miR-210-3p,VHL
hsa-miR-29a-3p,YY1
hsa-miR-29b-3p,YY1
hsa-miR-29c-3p,YY1
hsa-miR-141-3p,ZEB1
hsa-miR-200a-3p,ZEB1
hsa-miR-200b-3p,ZEB1
hsa-miR-200c-3p,ZEB1
hsa-miR-429,ZEB1
hsa-miR-141-3p,ZEB2
hsa-miR-200a-3p,ZEB2
hsa-miR-200b-3p,ZEB2
hsa-miR-200c-3p,ZEB2
hsa-miR-429,ZEB2
hsa-let-7g-5p,LIN28B
hsa-miR-21-5p,STAT3
hsa-miR-195-5p,EGR3
hsa-let-7a-5p,E2F1
hsa-let-7i-5p,E2F1
hsa-miR-15b-5p,E2F1
hsa-miR-15a-5p,E2F1
hsa-miR-16-5p,E2F1
hsa-miR-195-5p,E2F1
hsa-miR-106b-5p,E2F1
hsa-let-7a-5p,E2F3
hsa-let-7i-5p,E2F3
hsa-miR-15b-5p,E2F3
hsa-miR-15a-5p,E2F3
hsa-miR-16-5p,E2F3
hsa-miR-195-5p,E2F3
hsa-miR-106b-5p,E2F3
hsa-miR-23a-3p,SPI1
hsa-let-7d-5p,TGFB1
hsa-miR-22-3p,PTEN
hsa-miR-25-3p,PTEN
hsa-miR-302a-3p,PTEN
hsa-miR-302b-3p,PTEN
hsa-miR-302c-3p,PTEN
hsa-miR-302d-3p,PTEN
hsa-miR-302f,PTEN
hsa-miR-221-3p,ERS1
hsa-miR-222-3p,ERS1
hsa-miR-34a-5p,TP53
hsa-miR-7-5p,SF2/ASF
hsa-miR-221-3p,SF2/ASF
hsa-miR-222-3p,SF2/ASF
hsa-miR-143-3p,IFNbeta
hsa-miR-143-3p,IFNgamma
hsa-miR-145-5p,IFNbeta
hsa-miR-145-5p,IFNgamma
hsa-miR-146a-5p,TLR2
hsa-miR-146a-5p,TGFB1
hsa-miR-146a-5p,SPI1
hsa-miR-21-5p,Foxo3a
hsa-miR-137,SOX2
hsa-miR-137,Ezh2
hsa-miR-137,MECP2
hsa-miR-126-3p,klf2a
hsa-miR-143-3p,Src
hsa-miR-143-3p,TP53
hsa-miR-145-5p,Src
hsa-miR-145-5p,TP53
hsa-miR-210-3p,HIF1A
hsa-miR-107,TP53
hsa-miR-519c,IL6
hsa-miR-34c,MAPK/MK2
hsa-miR-155-5p,cAMP
hsa-miR-155-5p,FOXP3
hsa-miR-221-3p,p27
hsa-miR-222-3p,p27
hsa-miR-29a-3p,IL-4
hsa-miR-29a-3p,PDGF-B
hsa-miR-29a-3p,TGFB1
hsa-miR-34a-5p,NR1H4
hsa-miR-133a-3p,calcineurin
hsa-miR-133b,calcineurin
hsa-miR-9-5p,MYC
hsa-miR-34a-5p,TP53
hsa-miR-34c,TP53
hsa-miR-125b-5p,TP53
hsa-miR-155-5p,TP53
hsa-miR-195-5p,EGR3
hsa-miR-372-3p,HIF1A
hsa-miR-373-3p,HIF1A
hsa-miR-372-3p,TWIST1
hsa-miR-373-3p,TWIST1
hsa-miR-21-5p,RAS/ERK
hsa-miR-148a-3p,IL6
hsa-miR-152-3p,IL6
hsa-miR-301a-3p,IL6
hsa-miR-301b,IL6
hsa-miR-21-5p,BMPR1a
hsa-miR-21-5p,BMPR1b
hsa-miR-224-5p,TGFB1
hsa-miR-1-1,TNFSF12
hsa-miR-1-2,TNFSF12
hsa-miR-133a-3p,TNFSF12
hsa-miR-133b,TNFSF12
hsa-miR-206,TNFSF12
hsa-miR-146a-5p,TNFSF12
hsa-miR-455,TNFSF12
hsa-miR-21-5p,EGFR
hsa-miR-19a-3p,MYCN
hsa-miR-18a-5p,MYCN
hsa-miR-421,MYCN
hsa-miR-146a-5p,NFKB1
hsa-miR-141-3p,MYC
hsa-miR-141-3p,SPLUNC1
hsa-miR-21-5p,PTEN
hsa-miR-449a,CDK
hsa-miR-449b-5p,CDK
hsa-miR-449a,Rb
hsa-miR-449b-5p,Rb
hsa-miR-449a,E2F1
hsa-miR-449b-5p,E2F1
hsa-miR-223-3p,E2F1
hsa-miR-181b-1,TGFB1
hsa-miR-181b-2,TGFB1
hsa-miR-146a-5p,FLICE inhibitory protein (vFLIP) K13
hsa-miR-24-3p,PDGF
hsa-miR-24-3p,TGFB1
hsa-miR-15a-5p,STAT5
hsa-miR-15b-5p,STAT5
hsa-miR-16-5p,STAT5
hsa-miR-195-5p,STAT5
hsa-miR-223-3p,CEBPA
hsa-miR-17-5p,MYC
hsa-miR-19a-3p,MYC
hsa-miR-19b-3p,MYC
hsa-miR-31-5p,TNF
hsa-miR-17-5p,TNF
hsa-let-7e-5p,AKT1
hsa-miR-181c-5p,AKT1
hsa-miR-155-5p,AKT1
hsa-miR-125b-5p,AKT1
hsa-miR-451a,SMAD3
hsa-miR-17-5p,ERS1
hsa-miR-20a-5p,ERS1
hsa-miR-18a-5p,ERS1
hsa-miR-19a-3p,ERS1
hsa-miR-19b-3p,ERS1
hsa-miR-92a-3p,ERS1
hsa-miR-106a-5p,ERS1
hsa-miR-122-5p,HNF1A
hsa-miR-122-5p,HNF3A
hsa-miR-122-5p,HNF3B
hsa-miR-155-5p,SMG-1
hsa-miR-449a,FOXJ1
hsa-miR-16-5p,NFKB1
hsa-miR-21-5p,NFKB1
hsa-miR-211-5p,MITF
hsa-miR-132-3p,CREB1
hsa-miR-212-3p,CREB1
hsa-let-7a-5p,LIN28
hsa-let-7b-5p,LIN28
hsa-let-7c-5p,LIN28
hsa-let-7d-5p,LIN28
hsa-let-7e-5p,LIN28
hsa-let-7f-5p,LIN28
hsa-let-7g-5p,LIN28
hsa-let-7i-5p,LIN28
hsa-miR-23a-3p,RUNX2
hsa-miR-27a-3p,RUNX2
hsa-miR-24-2,RUNX2
hsa-miR-424-5p,HIF1A
hsa-miR-206,MyoD
hsa-miR-1-1,MyoD
hsa-miR-1-2,MyoD
hsa-miR-34a-5p,CEBPA
hsa-miR-1-2,MECOM
hsa-miR-107,TP53
hsa-let-7e-5p,EGR1
hsa-miR-10a-5p,EGR1
hsa-miR-124-3,EGR1
hsa-miR-125a,EGR1
hsa-miR-130b-3p,EGR1
hsa-miR-301b,EGR1
hsa-miR-212-3p,EGR1
hsa-miR-132-3p,EGR1
hsa-miR-142,EGR1
hsa-miR-146b,EGR1
hsa-miR-148a-3p,EGR1
hsa-miR-149-5p,EGR1
hsa-miR-183-5p,EGR1
hsa-miR-185-5p,EGR1
hsa-miR-425-5p,EGR1
hsa-miR-191-5p,EGR1
hsa-miR-200b-3p,EGR1
hsa-miR-219-2,EGR1
hsa-miR-23a-3p,EGR1
hsa-miR-24-2,EGR1
hsa-miR-27a-3p,EGR1
hsa-miR-30a-5p,EGR1
hsa-miR-30c-1,EGR1
hsa-miR-30c-2,EGR1
hsa-miR-30e-5p,EGR1
hsa-miR-32-5p,EGR1
hsa-miR-335-5p,EGR1
hsa-miR-455,EGR1
hsa-miR-596,EGR1
hsa-miR-642a,EGR1
hsa-miR-92b-3p,EGR1
hsa-miR-96-5p,EGR1
hsa-miR-99b-5p,EGR1
hsa-miR-21-5p,STAT3
hsa-miR-181b-1,STAT3
hsa-miR-10b-5p,PDLIM7
hsa-miR-10b-5p,TWIST1
hsa-miR-144-3p,GATA4
hsa-miR-451a,GATA4
hsa-miR-34a-5p,NR1H4
hsa-miR-23a-3p,RUNX2
hsa-miR-27a-3p,RUNX2
hsa-miR-24-2,RUNX2
hsa-miR-375,CTCF
hsa-miR-182-5p,IL2
hsa-let-7a-5p,LIN28
hsa-let-7b-5p,LIN28
hsa-let-7c-5p,LIN28
hsa-let-7d-5p,LIN28
hsa-let-7e-5p,LIN28
hsa-let-7f-5p,LIN28
hsa-let-7g-5p,LIN28
hsa-let-7i-5p,LIN28
hsa-miR-34a-5p,CEBPA
hsa-miR-34a-5p,TP53
hsa-miR-17-5p,MYC
hsa-miR-20a-5p,MYC
hsa-miR-20b-5p,MYC
hsa-miR-106a-5p,MYC
hsa-miR-106b-5p,MYC
hsa-miR-93-5p,MYC
hsa-miR-17-5p,MYC
hsa-miR-29a-3p,CEBPA
hsa-miR-29b-3p,CEBPA
hsa-miR-9-2,CREB1
hsa-miR-9-2,REST
hsa-miR-205-5p,BMP4
hsa-miR-200a-3p,BMP4
hsa-miR-200b-3p,BMP4
hsa-miR-200c-3p,BMP4
hsa-miR-21-5p,STAT3
hsa-miR-22-3p,AKT1
hsa-miR-200a-3p,TWIST1
hsa-miR-200b-3p,TWIST1
hsa-miR-200c-3p,TWIST1
hsa-miR-205-5p,TWIST1
hsa-miR-410-3p,CDKN2A
hsa-miR-302a-3p,POU5F1
hsa-miR-302b-3p,POU5F1
hsa-miR-302c-3p,POU5F1
hsa-miR-302d-3p,POU5F1
hsa-miR-22-3p,AKT2
hsa-miR-22-3p,AKT3
hsa-miR-363-3p,ERS1
hsa-miR-92a-2,ERS1
hsa-miR-19b-2,ERS1
hsa-miR-20b-5p,ERS1
hsa-miR-18b-5p,ERS1
hsa-miR-155-5p,MYB
hsa-miR-200c-3p,p53
hsa-miR-448,NFKB1
hsa-let-7a-5p,LIN28B
hsa-let-7b-5p,LIN28B
hsa-let-7c-5p,LIN28B
hsa-let-7d-5p,LIN28B
hsa-let-7e-5p,LIN28B
hsa-let-7f-5p,LIN28B
hsa-let-7g-5p,LIN28B
hsa-let-7i-5p,LIN28B
hsa-miR-155-5p,NFKB1
hsa-miR-1,SLUG
hsa-miR-200a-3p,SLUG
hsa-miR-200b-3p,SLUG
hsa-miR-200c-3p,SLUG
hsa-let-7a-3,NFKB1
hsa-hsa-miR-196b,ETS2
hsa-miR-34a-5p,NFKB1
hsa-miR-216a-5p,AR
hsa-miR-17-5p,STAT5
hsa-miR-18a-5p,STAT5
hsa-miR-19a-3p,STAT5
hsa-miR-20a-5p,STAT5
hsa-miR-19b-1,STAT5
hsa-miR-92a-1,STAT5
hsa-let-7,MYC
hsa-let-7,ZEB1
hsa-miR-200c-3p,ZEB1
hsa-miR-200c-3p,EP300
hsa-miR-200c-3p,KAT2B
hsa-miR-141-3p,ZEB1
hsa-miR-141-3p,EP300
hsa-miR-141-3p,KAT2B
hsa-miR-335-5p,MYCN
hsa-miR-199a-2,NFKB1
hsa-miR-214-3p,NFKB1
hsa-miR-181a-5p,TP63
hsa-miR-519a-3p,TP63
hsa-miR-374a-5p,TP63
hsa-miR-630,TP63
hsa-miR-143-3p,CEBPB
hsa-let-7b-5p,NFKB1
hsa-miR-143-3p,KLF2
hsa-miR-145-5p,KLF2
hsa-miR-21-5p,AP-1
hsa-miR-1,YY1
hsa-miR-200a-3p,SIX1
hsa-miR-200b-3p,SIX1
hsa-miR-200c-3p,SIX1
hsa-miR-17-5p,NFKB1
hsa-miR-21-5p,NFKB1
hsa-miR-10b-5p,NFKB1
hsa-miR-9-5p,NFKB1
hsa-miR-192-5p,TGFB1
hsa-miR-194-5p,TGFB1
hsa-miR-192-5p,TP53
hsa-miR-194-5p,TP53
hsa-miR-192-5p,HNF1A
hsa-miR-194-5p,HNF1A
hsa-miR-519d-3p,TP53
hsa-miR-29b-3p,MYC
hsa-miR-30a-5p,ESR2
hsa-miR-23b-3p,ESR2
hsa-miR-27b-3p,ESR2
hsa-miR-24-1,ESR2
hsa-miR-29b-1,AP-1
hsa-miR-29a-3p,AP-1
hsa-miR-34a-5p,TP53
hsa-miR-133a-1,MYOG
hsa-miR-133a-2,MYOG
hsa-miR-133b,MYOG
hsa-miR-224-5p,NFKB1
hsa-miR-155-5p,IRF1
hsa-let-7g-5p,POU2F1
hsa-miR-34a-5p,SNAI1
hsa-miR-34b-3p,SNAI1
hsa-miR-34a-5p,ZEB1
hsa-miR-34b-3p,ZEB1
hsa-miR-125a,TLR2
hsa-miR-155-5p,NFKB3
hsa-miR-125b-5p,STAT3
hsa-miR-143-3p,TP73
hsa-miR-145-5p,TP73
hsa-miR-21-5p,DDX5
hsa-miR-182-5p,DDX5
hsa-miR-34c,SP1
hsa-miR-338,SOX10
hsa-miR-140,SOX9
hsa-miR-140,sox9a
hsa-miR-135b-5p,STAT3
hsa-miR-34a-5p,TP53
hsa-miR-34b-3p,TP53
hsa-miR-34c,TP53
hsa-miR-200a-3p,SMAD3
hsa-miR-200b-3p,SMAD3
hsa-miR-371,LEF1
hsa-miR-371,CTNNB1
hsa-miR-372-3p,LEF1
hsa-miR-372-3p,CTNNB1
hsa-miR-373-3p,LEF1
hsa-miR-373-3p,CTNNB1
hsa-miR-346,XBP1
hsa-miR-21-5p,TCF4
hsa-miR-26a-5p,MYC
hsa-miR-26b-5p,MYC
hsa-miR-34a-5p,TP53
hsa-let-7a-1,MYC
hsa-let-7f-1,MYC
hsa-let-7d-5p,MYC
hsa-miR-125b-5p,CDX2
hsa-miR-17-5p,SPI1
hsa-miR-18a-5p,SPI1
hsa-miR-19a-3p,SPI1
hsa-miR-20a-5p,SPI1
hsa-miR-19b-1,SPI1
hsa-miR-92a-1,SPI1
hsa-miR-212-3p,CREB1
hsa-miR-132-3p,CREB1
hsa-miR-135b-5p,FOXM1
hsa-miR-140,SOX9
hsa-miR-132-3p,CREB1
hsa-miR-221-3p,FOSL1
hsa-miR-222-3p,FOSL1
hsa-miR-449a,E2F1
hsa-miR-449b-5p,E2F1
hsa-miR-449c-5p,E2F1
hsa-miR-375,ASH1L
hsa-let-7a-5p,FLI1
hsa-miR-200a-3p,HDAC4
hsa-miR-101-3p,KDM2A
hsa-miR-101-3p,EZH2
hsa-miR-21-5p,ETV5
hsa-miR-7-5p,FOXP3
hsa-miR-155-5p,FOXP3
hsa-miR-146a-5p,ETS1
hsa-miR-146a-5p,SPI1
hsa-miR-342,SPI1
hsa-miR-338,SPI1
hsa-miR-155-5p,SPI1
hsa-miR-21-5p,REL
hsa-miR-21-5p,RELA
hsa-miR-21-5p,STAT3
hsa-miR-143-3p,SMAD3
hsa-miR-145-5p,SMAD3
hsa-miR-143-3p,SMAD4
hsa-miR-145-5p,SMAD4
hsa-miR-181a-2,TCF4
hsa-miR-181b-2,TCF4
hsa-miR-222-3p,ETS1
hsa-miR-143-3p,JAG1
hsa-miR-145-5p,JAG1
hsa-miR-221-3p,FOSL1
hsa-miR-143-3p,TGFB1
hsa-miR-145-5p,BMP4
hsa-miR-193a,MAX
hsa-miR-193a,RXRA
hsa-miR-132-3p,SP1
hsa-miR-222-3p,HMGA1
hsa-miR-10b-5p,TWIST1
hsa-miR-210-3p,HIF1A
hsa-miR-29,TP53
hsa-miR-200a-3p,TP53
hsa-miR-200b-3p,TP53
hsa-miR-200c-3p,TP53
hsa-miR-192-5p,TP53
hsa-miR-365a-3p,SP1
hsa-miR-365a-3p,NFKB1
hsa-miR-34a-5p,E2F3
hsa-miR-155-5p,AP-1
hsa-miR-378a-3p,MYOD1
hsa-miR-451a,TCF3
hsa-miR-709,TCF3
hsa-miR-148a-3p,MYB
hsa-miR-15a-5p,E2F1
hsa-miR-15b-5p,E2F1
hsa-miR-16-1,E2F1
hsa-miR-16-2,E2F1
hsa-miR-193a,TP63
hsa-miR-193a,TP73
hsa-miR-200a-3p,GATA3
hsa-miR-200b-3p,GATA3
hsa-miR-200c-3p,GATA3
hsa-miR-132-3p,GNRH1
hsa-miR-212-3p,GNRH1
hsa-let-7a-2,CEBPA
hsa-miR-2861,RUNX2
miR-3960,RUNX2
