mir,gene
hsa-let-7b-5p,RHOB
hsa-let-7b-5p,AKAP8
hsa-let-7b-5p,UGT8
hsa-let-7b-5p,NXN
hsa-let-7b-5p,RRP8
hsa-let-7b-5p,AURKB
hsa-let-7b-5p,SIGMAR1
hsa-let-7b-5p,ATAD3B
hsa-let-7b-5p,ACTG1
hsa-let-7b-5p,RPP38
hsa-let-7b-5p,TMEM2
hsa-let-7b-5p,PPP1R7
hsa-let-7b-5p,FNDC3A
hsa-let-7b-5p,BAT2
hsa-let-7b-5p,IGF2BP1
hsa-let-7b-5p,GEMIN7
hsa-let-7b-5p,PGRMC1
hsa-let-7b-5p,SLC25A13
hsa-let-7b-5p,CCND1
hsa-let-7b-5p,MTPN
hsa-let-7b-5p,PTGS2
hsa-let-7b-5p,RDH10
hsa-let-7b-5p,IFRD1
hsa-let-7b-5p,NEDD4
hsa-let-7b-5p,TTC9C
hsa-let-7b-5p,RPIA
hsa-let-7b-5p,RBM19
hsa-let-7b-5p,FAM105A
hsa-let-7b-5p,CARHSP1
hsa-let-7b-5p,MRPS33
hsa-let-7b-5p,GRPEL2
hsa-let-7b-5p,DHX57
hsa-let-7b-5p,MLLT1
hsa-let-7b-5p,SLC25A24
hsa-let-7b-5p,USP10
hsa-let-7b-5p,USO1
hsa-let-7b-5p,NUP35
hsa-let-7b-5p,APRT
hsa-let-7b-5p,SYNE1
hsa-let-7b-5p,TIMM9
hsa-let-7b-5p,ANXA8L1
hsa-let-7b-5p,C20orf72
hsa-let-7b-5p,RTCD1
hsa-let-7b-5p,UBXN8
hsa-let-7b-5p,NME6
hsa-let-7b-5p,PIH1D1
hsa-let-7b-5p,C15orf44
hsa-let-7b-5p,MYO1E
hsa-let-7b-5p,CNDP2
hsa-let-7b-5p,DDX21
hsa-let-7b-5p,SLC30A7
hsa-let-7b-5p,DNAJC1
hsa-let-7b-5p,DRG2
hsa-let-7b-5p,SCRN1
hsa-let-7b-5p,WBSCR16
hsa-let-7b-5p,PUS1
hsa-let-7b-5p,DNAJC11
hsa-let-7b-5p,GALNT2
hsa-let-7b-5p,CPSF1
hsa-let-7b-5p,DCTPP1
hsa-let-7b-5p,CRKL
hsa-let-7b-5p,CTPS
hsa-let-7b-5p,MKRN2
hsa-let-7b-5p,DSG2
hsa-let-7b-5p,ASCC3
hsa-let-7b-5p,LDLR
hsa-let-7b-5p,AKR1A1
hsa-let-7b-5p,PTCD1
hsa-let-7b-5p,OXNAD1
hsa-let-7b-5p,FOXRED1
hsa-let-7b-5p,TRABD
hsa-let-7b-5p,XPO5
hsa-let-7b-5p,PMF1
hsa-let-7b-5p,LSG1
hsa-let-7b-5p,INTS7
hsa-let-7b-5p,LZIC
hsa-let-7b-5p,CCNY
hsa-let-7b-5p,CDC91L1
hsa-let-7b-5p,PEX11B
hsa-let-7b-5p,TTLL12
hsa-let-7b-5p,ATP2A2
hsa-let-7b-5p,NAF1
hsa-let-7b-5p,TMEM201
hsa-let-7b-5p,GSR
hsa-let-7b-5p,ALG3
hsa-let-7b-5p,WARS2
hsa-let-7b-5p,NARS2
hsa-let-7b-5p,SMARCA1
hsa-let-7b-5p,RAB3GAP2
hsa-let-7b-5p,WDR46
hsa-let-7b-5p,WDR4
hsa-let-7b-5p,TAF9
hsa-let-7b-5p,RNF40
hsa-let-7b-5p,GLB1
hsa-let-7b-5p,ELOVL1
hsa-let-7b-5p,CHD3
hsa-let-7b-5p,NAT13
hsa-let-7b-5p,PPID
hsa-let-7b-5p,PVR
hsa-let-7b-5p,RAP2C
hsa-let-7b-5p,TRNT1
hsa-let-7b-5p,SMARCC1
hsa-let-7b-5p,GEMIN5
hsa-let-7b-5p,TMED5
hsa-let-7b-5p,AC021097.5
hsa-let-7b-5p,BX276116.7-7
hsa-let-7b-5p,SLC30A1
hsa-let-7b-5p,PRPS1
hsa-let-7b-5p,PLXDC2
hsa-let-7b-5p,LRRC47
hsa-let-7b-5p,FLAD1
hsa-let-7b-5p,SLC38A5
hsa-let-7b-5p,ARL15
hsa-let-7b-5p,LPCAT3
hsa-let-7b-5p,EIF4A2
hsa-let-7b-5p,MRPS17
hsa-let-7b-5p,LSM6
hsa-let-7b-5p,CENPV
hsa-let-7b-5p,SLC38A1
hsa-let-7b-5p,REEP4
hsa-let-7b-5p,UCK2
hsa-let-7b-5p,MIPEP
hsa-let-7b-5p,ABCC1
hsa-let-7b-5p,DDX10
hsa-let-7b-5p,PCYT1B
hsa-let-7b-5p,AC133781.4-2
hsa-let-7b-5p,STIM1
hsa-let-7b-5p,MAT2B
hsa-let-7b-5p,GPATCH4
hsa-let-7b-5p,ANXA8
hsa-let-7b-5p,SMARCD1
hsa-let-7b-5p,NUP155
hsa-let-7b-5p,C10orf57
hsa-let-7b-5p,PAPSS1
hsa-let-7b-5p,HEATR2
hsa-let-7b-5p,UBE2D3
hsa-let-7b-5p,DDX49
hsa-let-7b-5p,NIPBL
hsa-let-7b-5p,UBE2D2
hsa-let-7b-5p,GSPT1
hsa-let-7b-5p,NFS1
hsa-let-7b-5p,PARVB
hsa-let-7b-5p,TBRG4
hsa-let-7b-5p,XRN1
hsa-let-7b-5p,ANXA8L2
hsa-let-7b-5p,CCDC115
hsa-let-7b-5p,MCAT
hsa-let-7b-5p,PDCD10
hsa-let-7b-5p,HS2ST1
hsa-let-7b-5p,KCTD12
hsa-let-7b-5p,CS
hsa-let-7b-5p,GYS2
hsa-let-7b-5p,C12orf30
hsa-let-7b-5p,TMEM65
hsa-let-7b-5p,EIF2B3
hsa-let-7b-5p,TCOF1
hsa-let-7b-5p,EHD4
hsa-let-7b-5p,ERGIC3
hsa-let-7b-5p,COPG
hsa-let-7b-5p,NOL6
hsa-let-7b-5p,CHD1
hsa-let-7b-5p,POLR2L
hsa-let-7b-5p,C1orf27
hsa-let-7b-5p,ACSL1
hsa-let-7b-5p,CHD4
hsa-let-7b-5p,ZADH2
hsa-let-7b-5p,BZW2
hsa-let-7b-5p,PLCB3
hsa-let-7b-5p,SPR
hsa-let-7b-5p,RRP7B
hsa-let-7b-5p,ARHGAP17
hsa-let-7b-5p,TST
hsa-let-7b-5p,IGF2BP3
hsa-let-7b-5p,ORC4L
hsa-let-7b-5p,CCDC134
hsa-let-7b-5p,SCAMP1
hsa-let-7b-5p,SLC9A3R1
hsa-let-7b-5p,RNMTL1
hsa-let-7b-5p,WDR74
hsa-let-7b-5p,PDCD11
hsa-let-7b-5p,BAG5
hsa-let-7b-5p,SLC38A2
hsa-let-7b-5p,RDX
hsa-let-7b-5p,SLC27A2
hsa-let-7b-5p,CENPB
hsa-let-7b-5p,SCD
hsa-let-7b-5p,CA12
hsa-let-7b-5p,GTF3C4
hsa-let-7b-5p,RNMT
hsa-let-7b-5p,C2orf56
hsa-let-7b-5p,PUM1
hsa-let-7b-5p,NUP214
hsa-let-7b-5p,CHAF1A
hsa-let-7b-5p,GPR177
hsa-let-7b-5p,MAP7
hsa-let-7b-5p,BAZ1B
hsa-let-7b-5p,USP15
hsa-let-7b-5p,MTP18
hsa-let-7b-5p,ANP32E
hsa-let-7b-5p,ZC3H11A
hsa-let-7b-5p,ATG9A
hsa-let-7b-5p,RBM12B
hsa-let-7b-5p,ARFIP2
hsa-let-7b-5p,PDK1
hsa-let-7b-5p,C13orf1
hsa-let-7b-5p,NCAPG2
hsa-let-7b-5p,LPGAT1
hsa-let-7b-5p,MPG
hsa-let-7b-5p,GDE1
hsa-let-7b-5p,TOE1
hsa-let-7b-5p,C2orf18
hsa-let-7b-5p,C1orf128
hsa-let-7b-5p,ABCB10
hsa-let-7b-5p,XPO7
hsa-let-7b-5p,IDI1
hsa-let-7b-5p,DCD
hsa-let-7b-5p,IPO8
hsa-let-7b-5p,MYCBP
hsa-let-7b-5p,SMARCA4
hsa-let-7b-5p,NARG1
hsa-let-7b-5p,FOXK1
hsa-let-7b-5p,POLR3B
hsa-let-7b-5p,PDPR
hsa-let-7b-5p,CDCA8
hsa-let-7b-5p,MAP7D1
hsa-let-7b-5p,PDHX
hsa-let-7b-5p,EEF1E1
hsa-let-7b-5p,PPM1G
hsa-let-7b-5p,ENG
hsa-let-7b-5p,CMC1
hsa-let-7b-5p,TRIM24
hsa-let-7b-5p,CHRAC1
hsa-let-7b-5p,SDAD1
hsa-let-7b-5p,RRM2
hsa-let-7b-5p,TRUB2
hsa-let-7b-5p,VAMP3
hsa-let-7b-5p,UBAP2L
hsa-let-7b-5p,SLC25A12
hsa-let-7b-5p,DDX41
hsa-let-7b-5p,ANKZF1
hsa-let-7b-5p,COIL
hsa-let-7b-5p,NUDT19
hsa-let-7b-5p,PRKAR2A
hsa-let-7b-5p,PAFAH1B3
hsa-let-7b-5p,CUL1
hsa-let-7b-5p,OSBPL10
hsa-let-7b-5p,UTP6
hsa-let-7b-5p,UBE2MP1
hsa-let-7b-5p,LBR
hsa-let-7b-5p,KIDINS220
hsa-let-7b-5p,ARCN1
hsa-let-7b-5p,TPP2
hsa-let-7b-5p,CCNK
hsa-let-7b-5p,LRRC40
hsa-let-7b-5p,TES
hsa-let-7b-5p,DPF2
hsa-let-7b-5p,KIF2A
hsa-let-7b-5p,PCCB
hsa-let-7b-5p,DHX16
hsa-let-7b-5p,GLTSCR2
hsa-let-7b-5p,PSMD9
hsa-let-7b-5p,C8orf30A
hsa-let-7b-5p,TMEM33
hsa-let-7b-5p,PSME3
hsa-let-7b-5p,SEC23B
hsa-let-7b-5p,TMTC3
hsa-let-7b-5p,UBE2I
hsa-let-7b-5p,COX7B
hsa-let-7b-5p,CUL3
hsa-let-7b-5p,VPS24
hsa-let-7b-5p,DNM3
hsa-let-7b-5p,AHCTF1
hsa-let-7b-5p,PYCRL
hsa-let-7b-5p,RIOK2
hsa-let-7b-5p,NRAS
hsa-let-7b-5p,BAZ1A
hsa-let-7b-5p,SEC11A
hsa-let-7b-5p,AGL
hsa-let-7b-5p,TUBGCP2
hsa-let-7b-5p,TRIP12
hsa-let-7b-5p,HELLS
hsa-let-7b-5p,ERC1
hsa-let-7b-5p,NAT11
hsa-let-7b-5p,KIAA0564
hsa-let-7b-5p,IMPDH1
hsa-let-7b-5p,POLR1B
hsa-let-7b-5p,KIAA0664
hsa-let-7b-5p,SFRS15
hsa-let-7b-5p,LLPH
hsa-let-7b-5p,A2BP1
hsa-let-7b-5p,IMPDH2
hsa-let-7b-5p,RAB38
hsa-let-7b-5p,NOLC1
hsa-let-7b-5p,EDEM3
hsa-let-7b-5p,TIMM8A
hsa-let-7b-5p,MARS
hsa-let-7b-5p,ACACA
hsa-let-7b-5p,C11orf2
hsa-let-7b-5p,NLE1
hsa-let-7b-5p,GLO1
hsa-let-7b-5p,PGM3
hsa-let-7b-5p,GGCT
hsa-let-7b-5p,WDR75
hsa-let-7b-5p,UNC13D
hsa-let-7b-5p,FAM49B
hsa-let-7b-5p,POP1
hsa-let-7b-5p,DDX28
hsa-let-7b-5p,TIMM23
hsa-let-7b-5p,LYN
hsa-let-7b-5p,MAP2K2
hsa-let-7b-5p,CCBL2
hsa-let-7b-5p,4-Sep
hsa-let-7b-5p,QRSL1
hsa-let-7b-5p,TMEM93
hsa-let-7b-5p,DIAPH1
hsa-let-7b-5p,WDR33
hsa-let-7b-5p,PDE12
hsa-let-7b-5p,EIF4G2
hsa-let-7b-5p,NVL
hsa-let-7b-5p,RBM9
hsa-let-7b-5p,TPBG
hsa-let-7b-5p,RANBP6
hsa-let-7b-5p,POM121
hsa-let-7b-5p,PCYT1A
hsa-let-7b-5p,CIAO1
hsa-let-7b-5p,PAAF1
hsa-let-7b-5p,SH3GLB1
hsa-let-7b-5p,QARS
hsa-let-7b-5p,SYNGR2
hsa-let-7b-5p,TMEM167A
hsa-let-7b-5p,C6orf167
hsa-let-7b-5p,KIAA0179
hsa-let-7b-5p,INPPL1
hsa-let-7b-5p,POLR1A
hsa-let-7b-5p,POLR2H
hsa-let-7b-5p,DHX33
hsa-let-7b-5p,MRPL47
hsa-let-7b-5p,MOBKL1A
hsa-let-7b-5p,IGSF3
hsa-let-7b-5p,SEC16A
hsa-let-7b-5p,RBM34
hsa-let-7b-5p,CLPX
hsa-let-7b-5p,LPL
hsa-let-7b-5p,TINP1
hsa-let-7b-5p,OXA1L
hsa-let-7b-5p,GFM2
hsa-let-7b-5p,ERO1L
hsa-let-7b-5p,DLAT
hsa-let-7b-5p,GAPVD1
hsa-let-7b-5p,NSMCE4A
hsa-let-7b-5p,SP100
hsa-let-7b-5p,NOP14
hsa-let-7b-5p,GATC
hsa-let-7b-5p,COPS2
hsa-let-7b-5p,TBC1D13
hsa-let-7b-5p,MIOS
hsa-let-7b-5p,NUBP2
hsa-let-7b-5p,TBC1D15
hsa-let-7b-5p,UBA3
hsa-let-7b-5p,SLC25A19
hsa-let-7b-5p,ACPP
hsa-let-7b-5p,LRRC8A
hsa-let-7b-5p,CPSF3L
hsa-let-7b-5p,ATG4B
hsa-let-7b-5p,MOBKL1B
hsa-let-7b-5p,IGF2BP2
hsa-let-7b-5p,TROVE2
hsa-let-7b-5p,AURKA
hsa-let-7b-5p,UTP15
hsa-let-7b-5p,ERGIC2
hsa-let-7b-5p,EIF4A1
hsa-let-7b-5p,SEMG2
hsa-let-7b-5p,INTS5
hsa-let-7c-5p,TRIM71
hsa-let-7c-5p,CSN6
hsa-let-7c-5p,CSN8
hsa-let-7c-5p,CSN1
hsa-let-7d-5p,LIN28B
hsa-let-7d-5p,ZNF763
hsa-let-7d-5p,CPNE1
hsa-let-7d-5p,DLC1
hsa-let-7d-5p,TMTC3
hsa-let-7d-5p,NHLRC3
hsa-let-7d-5p,FAM104A
hsa-let-7d-5p,IGF2BP3
hsa-let-7d-5p,GOLT1B
hsa-let-7d-5p,ESPL1
hsa-let-7d-5p,ZBTB39
hsa-let-7d-5p,ONECUT2
hsa-let-7d-5p,GPR63
hsa-let-7d-5p,ARRDC4
hsa-let-7d-5p,IGF1R
hsa-let-7d-5p,ERC1
hsa-let-7d-5p,TMEM2
hsa-let-7d-5p,ZNF280B
hsa-let-7d-5p,SMCR7L
hsa-let-7d-5p,CALCOCO2
hsa-let-7d-5p,TGFBR1
hsa-let-7d-5p,CEP120
hsa-let-7d-5p,TMEM194A
hsa-let-7d-5p,HAND1
hsa-let-7d-5p,BUB3
hsa-let-7d-5p,BIN3
hsa-let-7d-5p,ARID3A
hsa-let-7d-5p,USP24
hsa-let-7d-5p,NR4A1
hsa-let-7d-5p,KIAA1219
hsa-let-7d-5p,MEX3A
hsa-let-7d-5p,ZNF354B
hsa-let-7d-5p,STK40
hsa-let-7d-5p,GLMN
hsa-let-7d-5p,PCGF3
hsa-let-7d-5p,TST
hsa-let-7d-5p,FBXO3
hsa-let-7d-5p,SLC30A6
hsa-let-7d-5p,FAM159B
hsa-let-7d-5p,SFRS12
hsa-let-7d-5p,AKAP8
hsa-let-7d-5p,ISL1
hsa-let-7d-5p,PCNP
hsa-let-7d-5p,TMED4
hsa-let-7d-5p,ZNF526
hsa-let-7d-5p,TNRC6A
hsa-let-7d-5p,RFX5
hsa-let-7d-5p,TOMM20
hsa-let-7d-5p,LBR
hsa-let-7d-5p,CBR4
hsa-let-7d-5p,FAM135A
hsa-let-7d-5p,LARP5
hsa-let-7d-5p,SLC20A1
hsa-let-7d-5p,ZBTB24
hsa-let-7d-5p,KPNA5
hsa-let-7d-5p,ABT1
hsa-let-7d-5p,LIN52
hsa-let-7d-5p,SPATA2
hsa-let-7d-5p,C11orf57
hsa-let-7d-5p,AC008012.8
hsa-let-7d-5p,MLL
hsa-let-7d-5p,GPR137B
hsa-let-7d-5p,TMEM135
hsa-let-7d-5p,KATNAL1
hsa-let-7d-5p,IGDCC4
hsa-let-7d-5p,SMARCAD1
hsa-let-7d-5p,ZNF644
hsa-let-7d-5p,NAT5
hsa-let-7d-5p,IGF2BP1
hsa-let-7d-5p,RPUSD2
hsa-let-7d-5p,THBS1
hsa-let-7d-5p,RAD9A
hsa-let-7d-5p,TBC1D9B
hsa-let-7d-5p,TLE4
hsa-let-7d-5p,POLR2D
hsa-let-7d-5p,ZNF200
hsa-let-7d-5p,C9orf41
hsa-let-7d-5p,SLC10A7
hsa-let-7d-5p,HOMER1
hsa-let-7d-5p,SPRYD4
hsa-let-7d-5p,ADCY9
hsa-let-7d-5p,IL-13
hsa-let-7e-3p,CSN6
hsa-let-7e-3p,CSN8
hsa-let-7e-3p,CSN1
hsa-let-7e-5p,SMC1A
hsa-let-7e-5p,EIF3S1
hsa-let-7e-5p,MYCN
hsa-let-7f-5p,CDKN1A
hsa-let-7f-5p,MYC
hsa-let-7f-5p,CCND1
hsa-let-7f-5p,TG
hsa-let-7f-5p,IL-13
hsa-let-7f-5p,CSN6
hsa-let-7f-5p,CSN8
hsa-let-7f-5p,CSN1
hsa-let-7f-5p,NIS
hsa-let-7f-5p,TITF1
hsa-let-7g-5p,IGF2BP1
hsa-let-7g-5p,HMGA2
hsa-let-7g-5p,IL-13
hsa-let-7g-5p,INK4A
hsa-let-7g-5p,c-MYC
hsa-let-7g-5p,MDR1
hsa-let-7g-5p,Bmi-1
hsa-let-7g-5p,IMP-1
hsa-let-7i-5p,IL-13
hsa-let-7i-5p,CSN6
hsa-let-7i-5p,CSN8
hsa-let-7i-5p,CSN1
hsa-miR-1,TH1L
hsa-miR-1,THBS1
hsa-miR-1,PDLIM7
hsa-miR-1,KCNJ2
hsa-miR-1,NP
hsa-miR-1,H3F3B
hsa-miR-1,FBLN2
hsa-miR-1,SSNA1
hsa-miR-1,AXL
hsa-miR-1,HPS4
hsa-miR-1,TRAPPC3
hsa-miR-1,ATP6V0A1
hsa-miR-1,SERP1
hsa-miR-1,ITGB4
hsa-miR-1,EPB41L4B
hsa-miR-1,SDC4
hsa-miR-1,ANKRD29
hsa-miR-1,PLEKHC1
hsa-miR-1,MRC2
hsa-miR-1,GPD2
hsa-miR-1,DDX5
hsa-miR-1,GOLGA7
hsa-miR-1,SYNE1
hsa-miR-1,PDCD4
hsa-miR-1,LZTFL1
hsa-miR-1,OSBPL7
hsa-miR-1,C2orf3
hsa-miR-1,UST
hsa-miR-1,BCKDHB
hsa-miR-1,ARF4
hsa-miR-1,INPP5F
hsa-miR-1,NETO2
hsa-miR-1,SFRS9
hsa-miR-1,IGF1
hsa-miR-1,POGK
hsa-miR-1,AGMAT
hsa-miR-1,NOTCH2
hsa-miR-1,CHST11
hsa-miR-1,EML4
hsa-miR-1,TRIM2
hsa-miR-1,MET
hsa-miR-1,WDR11
hsa-miR-1,UHRF1
hsa-miR-1,NRP1
hsa-miR-1,ANKIB1
hsa-miR-1,GCH1
hsa-miR-1,CPOX
hsa-miR-1,SFXN1
hsa-miR-1,HCN4
hsa-miR-1,ARF3
hsa-miR-1,ARHGEF18
hsa-miR-1,PTBP1
hsa-miR-1,TWF1
hsa-miR-1,ARID1A
hsa-miR-1,COIL
hsa-miR-1,ARID2
hsa-miR-1,ADPGK
hsa-miR-1,F2
hsa-miR-1,SLC25A22
hsa-miR-1,TPM2
hsa-miR-1,TAGLN2
hsa-miR-1,AP3D1
hsa-miR-1,ADAR
hsa-miR-1,OAT
hsa-miR-1,KIF2A
hsa-miR-1,CAP1
hsa-miR-1,LRP1
hsa-miR-1,GAK
hsa-miR-1,PREX1
hsa-miR-1,ASH2L
hsa-miR-1,RFT1
hsa-miR-1,PFTK1
hsa-miR-1,ZNF264
hsa-miR-1,CERS2
hsa-miR-1,LRRC8A
hsa-miR-1,IQGAP3
hsa-miR-1,KIAA1598
hsa-miR-1,ANPEP
hsa-miR-1,MOV10
hsa-miR-1,EHMT2
hsa-miR-1,LASP1
hsa-miR-1,PTPRF
hsa-miR-1,DHX15
hsa-miR-1,PICALM
hsa-miR-1,PPIB
hsa-miR-1,WDFY1
hsa-miR-1,BRI3BP
hsa-miR-1,ACPL2
hsa-miR-1,PRSS21
hsa-miR-1,SLC25A30
hsa-miR-1,PGM2
hsa-miR-1,ARCN1
hsa-miR-1,RABL2A
hsa-miR-1,TPM4
hsa-miR-1,CLCN3
hsa-miR-1,SAC3D1
hsa-miR-1,MTX1
hsa-miR-1,CDCP1
hsa-miR-1,POLA2
hsa-miR-1,RAB11FIP2
hsa-miR-1,GJA1
hsa-miR-1,LIN7C
hsa-miR-1,EHMT1
hsa-miR-1,G6PD
hsa-miR-1,ANP32B
hsa-miR-1,PTPLB
hsa-miR-1,POM121B
hsa-miR-1,PTPLAD1
hsa-miR-1,IP6K2
hsa-miR-1,SH3BGRL3
hsa-miR-1,CAND1
hsa-miR-1,TMSB4X
hsa-miR-1,DNAJB1
hsa-miR-1,AP3B1
hsa-miR-1,POLR2K
hsa-miR-1,EGFR
hsa-miR-1,XPO6
hsa-miR-1,TIMP3
hsa-miR-1,PTBP2
hsa-miR-1,GNPNAT1
hsa-miR-1,SLC25A1
hsa-miR-1,BLCAP
hsa-miR-1,YWHAQ
hsa-miR-1,HAND2
hsa-miR-1,ABHD11
hsa-miR-1,CORO1C
hsa-miR-1,MTHFD2
hsa-miR-1,HIST1H3B
hsa-miR-1,ANXA2
hsa-miR-1,TPM1
hsa-miR-1,GNPDA2
hsa-miR-1,RNF138
hsa-miR-1,TPM3
hsa-miR-1,CTSC
hsa-miR-1,TDP1
hsa-miR-1,KIAA1618
hsa-miR-1,SERPINB5
hsa-miR-1,PWP1
hsa-miR-1,RABL2B
hsa-miR-1,SLC16A9
hsa-miR-1,MMD
hsa-miR-1,SEC23IP
hsa-miR-1,AGRN
hsa-miR-1,PLEKHB2
hsa-miR-1,MXD4
hsa-miR-1,PTMA
hsa-miR-1,RABGAP1L
hsa-miR-1,HCN2
hsa-miR-1,SNX6
hsa-miR-1,UNC93B1
hsa-miR-1,CSRP1
hsa-miR-1,SH2D4A
hsa-miR-1,CHSY1
hsa-miR-1,CETN3
hsa-miR-1,LCP1
hsa-miR-1,MKI67IP
hsa-miR-1,ISG20
hsa-miR-1,THY1
hsa-miR-1,TRIM9
hsa-miR-1,F11R
hsa-miR-1,TLR4
hsa-miR-1,PLS3
hsa-miR-1,RALB
hsa-miR-1,SOX5
hsa-miR-1,KLHDC5
hsa-miR-1,EML3
hsa-miR-1,ISG15
hsa-miR-1,SH3TC2
hsa-miR-1,KLHDC4
hsa-miR-1,COPB1
hsa-miR-1,HSD3B7
hsa-miR-1,FRMD7
hsa-miR-1,CXCL2
hsa-miR-1,KIAA1731
hsa-miR-1,SPERT
hsa-miR-1,SPINK1
hsa-miR-1,CALR
hsa-miR-1,F2RL1
hsa-miR-1,PLXNA4
hsa-miR-1,GLI2
hsa-miR-1,C14orf174
hsa-miR-1,SGK3
hsa-miR-1,CDC42SE1
hsa-miR-1,GNAI1
hsa-miR-1,GPR83
hsa-miR-1,BRDT
hsa-miR-1,PI16
hsa-miR-1,ZNF622
hsa-miR-1,C6orf130
hsa-miR-1,FHDC1
hsa-miR-1,GIMAP4
hsa-miR-1,DOLPP1
hsa-miR-1,RAPGEF2
hsa-miR-1,CAPG
hsa-miR-1,CNN3
hsa-miR-1,S100G
hsa-miR-1,HS3ST5
hsa-miR-1,FBXO33
hsa-miR-1,NUP160
hsa-miR-1,ABCB5
hsa-miR-1,GNAI2
hsa-miR-1,LIMS1
hsa-miR-1,ACTN1
hsa-miR-1,CCDC88C
hsa-miR-1,GNAT2
hsa-miR-1,PLEKHH2
hsa-miR-1,CHMP2A
hsa-miR-1,GNB1
hsa-miR-1,PRIMA1
hsa-miR-1,C2orf48
hsa-miR-1,DOK6
hsa-miR-1,AHNAK2
hsa-miR-1,SPRY2
hsa-miR-1,REM2
hsa-miR-1,OXTR
hsa-miR-1,RSRC2
hsa-miR-1,AKAP4
hsa-miR-1,IFI44
hsa-miR-1,BCAS4
hsa-miR-1,HIF3A
hsa-miR-1,NXT2
hsa-miR-1,FOXN4
hsa-miR-1,IFIT2
hsa-miR-1,FADD
hsa-miR-1,PACS2
hsa-miR-1,COTL1
hsa-miR-1,C4orf34
hsa-miR-1,CDK4
hsa-miR-1,MOBKL3
hsa-miR-1,KIF5B
hsa-miR-1,CDH4
hsa-miR-1,PSG3
hsa-miR-1,AMZ1
hsa-miR-1,ERMN
hsa-miR-1,ATP6V1B2
hsa-miR-1,CALM1
hsa-miR-1,CTBP2
hsa-miR-1,AP1S1
hsa-miR-1,IL8
hsa-miR-1,EMD
hsa-miR-1,HADH
hsa-miR-1,MAGEB3
hsa-miR-1,ECHS1
hsa-miR-1,FLNB
hsa-miR-1,SUSD1
hsa-miR-1,DULLARD
hsa-miR-1,TMEM106C
hsa-miR-1,IL6
hsa-miR-1,PSG11
hsa-miR-1,MRFAP1
hsa-miR-1,PTAR1
hsa-miR-1,AP1B1
hsa-miR-1,LRRC8B
hsa-miR-1,LRRC8C
hsa-miR-1,EIF4G1
hsa-miR-1,ZBTB6
hsa-miR-1,LHX4
hsa-miR-1,HERC5
hsa-miR-1,C8orf13
hsa-miR-1,CXCL3
hsa-miR-1,ZNF799
hsa-miR-1,LGALS3BP
hsa-miR-1,GPC1
hsa-miR-1,KIAA1529
hsa-miR-1,SEMG2
hsa-miR-1,PSG9
hsa-miR-1,GNA13
hsa-miR-1,CTTN
hsa-miR-1,RASSF5
hsa-miR-1,PPM1H
hsa-miR-1,ZNF568
hsa-miR-1,JUP
hsa-miR-1,SCN3A
hsa-miR-1,COL12A1
hsa-miR-1,TUBB2B
hsa-miR-1,KLK12
hsa-miR-1,EPB41L2
hsa-miR-1,COPZ1
hsa-miR-1,FLNA
hsa-miR-1,CXCL1
hsa-miR-1,PRDX2
hsa-miR-1,IFIT3
